ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
153.9006935,22.1802703,0.0688,0.0675,-0.0179,12.906,0.034,32.3,1.283,11.989,0.035,30.6,1.38,1,0,0000,AA,5,57511.60349848,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.091488,323.032665
153.9007046,22.1802231,0.07,0.0781,-0.0164,13.028,0.036,30.4,0.5123,11.908,0.036,30.3,0.3621,1,0,0000,AA,10,57511.66895024,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.098499,190.530442
153.9007418,22.1802561,0.0696,0.0844,-0.033,13.055,0.032,34.3,0.8078,11.904,0.034,31.5,0.8572,1,0,0000,AA,5,57511.73452936,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.108276,78.296531
153.900728,22.1802701,0.0748,0.0889,0.0099,13.088,0.038,28.8,0.8413,11.977,0.036,30.5,0.8115,1,0,0000,AA,10,57511.79998111,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.093983,39.667365
153.9007241,22.1802239,0.0652,0.071,0.0127,13.011,0.033,33.2,0.9013,11.983,0.037,29.6,1.679,1,0,0000,AA,10,57511.80010844,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.105043,153.423335
153.9007417,22.1802803,0.067,0.0786,-0.0307,12.999,0.03,36.7,1.145,11.958,0.038,28.7,0.7088,1,0,0000,AA,5,57511.86556023,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.151886,44.091683
153.9007205,22.1802724,0.0595,0.0647,0.0107,13.004,0.029,36.8,0.7686,11.965,0.034,32.3,0.5277,1,0,0000,AA,10,57511.93113935,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.087907,23.463871
153.9007989,22.1802283,0.0659,0.0719,-0.0201,13.047,0.029,36.9,0.8679,11.973,0.033,32.8,0.863,1,0,0000,AA,10,57512.06217028,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.306481,104.767272
153.9007292,22.1802511,0.0699,0.0714,-0.0236,12.952,0.029,37.0,1.265,12.006,0.034,32.4,0.553,1,0,0000,AA,5,57512.1932011,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.064105,86.459619
153.900759,22.1802664,0.0626,0.0699,-0.0201,12.984,0.028,38.3,1.256,11.955,0.032,34.2,1.036,1,0,0000,AA,5,57512.32423192,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.173678,70.128098
