Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
20810,183.404462,-0.013085,0.453826,121337.07-000047.1,288,52000,350,183.40448901401768,-0.0130774122501873,0.4536722880231619,39627787803298866,59310.21218796,19.4414176940918,0.5656774122501873
20043,219.6321152834168,-0.014204532950035,2.909,143831.70-000051.1,4025,55350,974,219.6321194497868,-0.0142021697263805,2.903221503471044,39627788411472627,59311.36066938,20.402585983276367,0.5668021697263805
2730,179.99520446769398,-0.0147730008874498,2.19,115958.84-000053.1,3843,55278,38,179.99522053794,-0.0148028472891907,2.196265942356046,39627787744581338,59263.43204665,21.07966423034668,0.39860284728919065
20213,214.808207,-0.015315,1.54764,141913.96-000055.1,303,51615,636,214.8082128288766,-0.015311933165949,1.5432427666161554,39627788331779383,59312.27203326,18.821346282958984,0.39911193316594895
20204,215.8249289765324,-0.0191315761933695,2.285,142317.98-000108.8,4028,55621,356,215.82493246791643,-0.0191309454937145,2.2864012205997315,39627788348557407,59311.2975874,19.68426322937012,0.4029309454937145
20149,219.083509,-0.020287,0.582939,143620.04-000113.0,307,51663,436,219.08350633159355,-0.0202795226225843,0.5834417355492819,39627788403083562,59311.3606694,19.81755447387696,0.4040795226225843
20196,215.3132541770544,-0.0215733534566812,2.512,142115.18-000117.6,4031,55604,826,215.31327999699903,-0.0215802883686891,2.503135244462107,39627788340168557,59311.29758736,20.61849594116211,0.40538028836868906
29,37.021963497230274,-0.0223918728379274,1.999,022805.27-000120.6,6780,56577,277,37.02194654157832,-0.0224084965761049,1.9978979106901809,39627785349628660,59225.15787272,20.00824737548828,0.4584084965761049
20200,215.521233,-0.022435,1.863192,142205.09-000120.7,304,51957,508,215.52123441749228,-0.0224243646966721,1.8619259899315168,39627788344361597,59315.28830797,18.880842208862305,0.4584243646966721
8546,199.407131,-0.02332,0.9276,131737.71-000123.9,2926,54625,36,199.407115134841,-0.023303525634271,0.9292177822157024,39627788071734310,59263.44768638,18.38544654846192,0.459303525634271
1217,216.69264162449124,-0.0234711039469646,0.5142693519592285,142646.23-000124.4,4028,55621,151,216.69265214312009,-0.023479712811688,0.5141582235477409,39627788361142901,59339.33719254,0.0,0.459479712811688
1613,181.0283712760611,-0.023689971606436,0.802,120406.80-000125.2,3844,55321,296,181.02837680775207,-0.0236892026829548,0.8011565945494393,39627787765547577,59312.15326651,21.280256271362305,0.4596892026829548
21163,150.70553523064203,2.6295954075283907,2.13,100249.32+023746.5,4737,55630,974,150.7055301730806,2.6295965337156657,2.1271848108335147,39627853691621730,59312.1267892,20.18289566040039,0.028503466284334422
20414,219.593065,2.627215,1.235039,143822.33+023737.9,536,52024,442,219.59307028496403,2.6272380717995403,1.2346185004128518,39627854849247262,59313.36821484,19.903743743896484,0.030861928200459854
20404,219.3672181174101,2.605141256872629,2.715,143728.13+023618.5,4021,55620,566,219.36724969428732,2.6051758886108085,2.7114739165671544,39627848805255514,59311.34644756,0.0,0.05292411138919162
10659,149.18070171807767,2.6048943776333067,0.7340352,095643.36+023617.6,4737,55630,580,149.18070418556238,2.6048923098976164,0.7343817132681469,39627847626657402,59312.12678917,20.36594581604004,0.05320769010238369
20356,218.9773769704189,2.6002376716388635,2.375,143554.57+023600.8,4021,55620,501,218.9773961181648,2.600235293387315,2.377563315917315,39627848796869426,59311.34644756,20.81463623046875,0.05786470661268517
2596,38.6436585004322,1.3178274266342165,3.33162522315979,023434.47+011904.1,7824,57282,298,38.64364627910496,1.3178254118814898,3.3347934240645505,39627815573787900,59220.10123124,20.53026580810547,0.32272541188148984
21261,179.73257900000004,1.319987,1.742811,115855.81+011911.9,516,52017,248,179.7325966284652,1.3199992640156692,1.7354575182025118,39627817939375102,59312.15326649,20.130746841430664,0.32489926401566926
21073,149.054084217001,1.3201326593893332,2.374,095612.98+011912.4,3828,55539,748,149.05405969556475,1.320121947057446,2.3739932401129,39627817427665890,59311.13373054,0.0,0.3250219470574459
20240,217.70898747912184,1.3216800298506115,3.216,143050.15+011918.0,4024,55646,382,217.7089942679748,1.3216963967702904,3.2092350266281247,39627818576909107,59312.33228952,19.97518920898437,0.3265963967702904
20913,183.7117075759556,1.3279179191655517,1.145,121450.80+011940.5,4750,55630,416,183.71172276980136,1.3279142913996935,1.14576289002149,39627818006482968,59310.21218795,20.161943435668945,0.33281429139969354
20807,183.89190973140057,-0.0237488420330281,2.15,121534.05-000125.4,3845,55323,14,183.8919124297745,-0.0237383506660743,2.157205495418652,39627787811687420,59321.17096781,20.846281051635746,0.4925383506660743
8517,214.906628,-0.025693,1.845631,141937.59-000132.4,304,51957,474,214.9066299801598,-0.0256883863226226,1.8397000388019569,39627788331781390,59346.25856128,19.15266227722168,0.4944883863226226
21002,178.4007992065459,-0.0259993335153517,2.197,115336.19-000133.5,3843,55278,398,178.40079428444866,-0.0260270313628207,2.1942769772132693,39627787719413558,59322.23080243,0.0,0.4948270313628207
8516,214.42858042218293,-0.0270376180201105,2.414,141742.85-000137.3,4031,55604,670,214.4285743458296,-0.027047702501483,2.4063133812245723,39627788323393415,59346.25856128,20.238279342651367,0.495847702501483
16373,183.672604,-0.027187,1.045981,121441.42-000137.8,287,52023,514,183.67261762454208,-0.027188254624091,1.0448625568530672,39627787807493706,59325.19500821,18.9636173248291,0.495988254624091
21071,149.28711656790202,1.4316088407598837,2.6830000000000003,095708.90+012553.7,3828,55539,822,149.28711874261597,1.4316156995115907,2.6805742774100305,39627823471658059,59311.13373054,20.041290283203125,0.012915699511590661
21266,180.220998,1.434998,0.452937,120053.03+012605.9,516,52017,126,180.2209958727052,1.4349781734702736,0.4525926403098992,39627823987560606,59348.22709793,18.84441947937012,0.016278173470273494
