obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56065.3235772,19.577,0.069,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13306036000926,231.323224,40.232643,4413,4,56065.3265372,1162,19.553,21.542,27.94,2.45,3.964,0,131072,1,1,13306036,0.193221,67.062251
56065.3547272,19.685,0.071,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13306199000889,231.323251,40.232681,4413,4,56065.3576772,1162,19.67,21.499,27.935,2.45,2.994,0,131072,1,1,13306199,0.193221,67.062251
56065.3885572,19.396,0.064,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13306088000915,231.323251,40.232673,4413,4,56065.3915072,1162,19.376,21.534,27.926,2.35,3.321,0,131072,1,1,13306088,0.193221,67.062251
56067.3069572,19.458,0.057,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13319700001103,231.323221,40.232694,4413,4,56067.3098672,1164,19.469,21.882,27.944,1.75,2.199,0,131072,1,1,13319700,0.193221,67.062251
56067.3387072,19.428,0.061,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13319723001092,231.323242,40.23269,4413,4,56067.3416072,1164,19.434,21.949,27.946,1.65,2.071,0,131072,1,1,13319723,0.193221,67.062251
56067.3703372,19.433,0.054,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13319781001171,231.323203,40.232688,4413,4,56067.3732472,1164,19.43,21.984,27.943,1.55,2.028,0,131072,1,1,13319781,0.193221,67.062251
56069.3019672,19.476,0.07,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13334677001108,231.323251,40.232673,4413,4,56069.3048172,1166,19.487,21.981,27.994,1.55,1.777,0,131072,1,1,13334677,0.193221,67.062251
56069.3390172,19.448,0.072,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13334721001046,231.32325,40.232684,4413,4,56069.3418672,1166,19.45,21.83,27.98,1.75,2.503,0,131072,1,1,13334721,0.193221,67.062251
56069.3849972,19.455,0.068,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13334639001098,231.323231,40.232686,4413,4,56069.3878472,1166,19.426,21.878,27.945,1.55,2.136,0,131072,1,1,13334639,0.193221,67.062251
56071.2903772,19.493,0.06,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13348313001010,231.323204,40.2327,4413,4,56071.2931772,1168,19.468,21.727,27.933,2.05,2.575,0,131072,1,1,13348313,0.193221,67.062251
56071.3217372,19.616,0.068,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13348506000874,231.323248,40.232714,4413,4,56071.3245272,1168,19.612,21.379,27.931,2.95,3.675,0,131072,1,1,13348506,0.193221,67.062251
56071.3569672,19.561,0.067,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13348373000883,231.32318,40.232739,4413,4,56071.3597572,1168,19.558,21.382,27.926,2.85,4.181,0,131072,1,1,13348373,0.193221,67.062251
56076.1825472,19.621,0.085,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13362580000714,231.323243,40.232749,4413,4,56076.1851872,1173,19.624,21.089,27.918,2.25,3.048,0,131072,1,1,13362580,0.193221,67.062251
56076.2124172,19.548,0.078,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13362582000820,231.323193,40.232692,4413,4,56076.2150572,1173,19.542,21.414,27.934,1.75,1.938,0,131072,1,1,13362582,0.193221,67.062251
56076.2534272,19.34,0.064,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13362645000883,231.323207,40.2327,4413,4,56076.2560672,1173,19.339,21.609,27.949,1.55,2.298,0,131072,1,1,13362645,0.193221,67.062251
