Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
160310.99+432928.9,31.160215091512768,1.343564597427937,-34.72624137539155,1.4973243405634085,0.5496662228246615,0.023700480732249587,1.0035046468551883,0.05245200046786929,26.256593495057814,1.597484596924718,-21.076501957582586,1.282321228785041,0.4607451806523122,0.028032323741383522,1.4078796658185306,0.1359091323086667,28.30488797988618,0.7177852559919056,1.2056921563368594,0.07283972919701176,4017.5668646699996,4384.402357949999,0.4923,0.4923
160337.12+242513.9,18.212486548922257,3.600749212808477,-5.265089110541348,1.0409487699124818,0.3527612430730771,0.0697436214924693,1.0876803924783656,0.2959731804111882,,,,,,,,,11.738787829731802,1.8740977319181609,1.2477800291484482,0.16284303467419817,3286.27268283,,0.7058,0.7058
160730.20+560305.5,26.33190361421986,1.2443136268692632,-35.56040004892482,1.680406058219977,0.5305848801407476,0.025072778870928094,1.3054954152964853,0.0858169401709172,13.439765447594327,1.359226071333109,-14.598995868225547,1.4764644425344782,0.4090220157246915,0.0413663013458122,1.4224972886916099,0.16712985332781313,22.48276624474114,0.7245482940069983,1.3639963519940475,0.09393739283916058,3471.5293365499965,2351.538984195002,0.7172,0.7172
161903.04+540529.0,11.90005414348448,,,,0.2534469736479388,,0.836965542492347,,3.601379677211302,,,,0.19327710813322407,,0.8971911104627388,,7.750716910347891,,0.8670783264775429,,4202.761272950003,4384.314530379997,0.6033,0.6033
162106.25+371950.7,3.49717417923425,,,,0.10179946954316904,,0.5276743722590064,,2.6574015560456106,,,,0.19493570560204163,,0.895356880484449,,3.0772878676399302,,0.7115156263717277,,2376.619633185008,3269.7324068600064,1.3883,1.3883
162829.18+432948.5,40.69697678262734,1.486165158324156,-37.01734314509349,1.3517929336572176,0.7728346824918702,0.028222243249140425,0.7123724097474392,0.029809404689962685,35.739775173040506,1.7323632011163823,-25.26500247838509,1.2246344683971053,0.5920719925845451,0.02869866213201081,0.8897729110282876,0.047461003552870244,34.679774394786605,0.7304469032324796,0.8010726603878634,0.028022970337811853,4180.024847324996,4180.024847324996,0.2599,0.2599
164331.90+304835.5,85.07087036839864,1.1697252080485188,-140.18622271646169,1.9275617825753748,3.802784482249248,0.052288319731533646,1.2951559617583506,0.024307056502027163,98.16805720740383,1.21451839160346,-142.42895386086602,1.7621066249217374,3.5844807570234334,0.044346582051185975,1.9361138458572926,0.03838792588099915,116.46352603828254,0.7771673793786895,1.6156349038078215,0.022718196722219315,4748.696831950001,4748.696831950001,0.1837,0.1837
164709.87+532202.2,6.264280814309393,1.6757743433536392,-4.65849491514813,1.246206306654735,0.10366493390549908,0.027731680889442667,0.36228652600368894,0.09915748472740368,3.097194205753401,,,,0.29515125742535664,,1.364423578401183,,4.673323311736975,,0.8633550522024359,,2719.4107931499966,5016.2728835799935,1.2008,1.2008
164725.15+351754.3,3.6399836114112953,,,,0.17084022556775208,,0.8701830147819616,,,,,,,,,,3.6399836114112953,,1.1173032965915723,,1826.6438435349992,,0.6886,0.6886
164900.95+452016.8,11.15843638813919,1.5398503243443766,-9.529335043035672,1.3150363676762193,0.1858402414220855,0.025645721862447915,0.5550855944748285,0.08165184393479599,3.2765783691458488,1.309717667942669,-3.8739866642188745,1.548514397604477,0.2861992191879307,0.11439988051301948,1.1775326848338892,0.4801702208704392,6.959584116134896,0.7164895707110853,0.8663091396543589,0.24353155064011658,1664.467188384995,2721.3606618149934,0.5806,0.5806
213135.84+001517.0,2.119751658743236,1.3787240103846066,-2.233322986455946,1.4525928127808305,0.14478928853322773,0.09417351684754409,0.5708954309783691,0.4116614486830372,,,,,,,,,2.176537322599591,1.0013622941465212,0.8742140579061292,0.31623906674483754,2718.4573692199992,,2.4755,2.4755
213400.68+013828.4,2.3914291809247197,1.0914473152433146,-5.468252749377838,2.4957083529743014,0.15683441489869204,0.07157916380895832,0.5792443989220917,0.27019697502190215,2.88956656983677,1.1330808478181347,-5.423395376517538,2.126666848732466,0.42752284338106444,0.16764380890079325,1.8325836209362565,0.9175338575476207,4.043160969164216,0.9092029998248287,1.205914009929174,0.4782454351735111,1648.2202935199966,4203.790779849995,0.9973,0.9973
221044.76+245958.0,23.436154879125425,1.240020914955506,-31.962134833988813,1.6911355930693135,0.7932316012765241,0.04197035653074003,0.2870915152212121,0.015344318464901478,16.47208150618948,1.2012877887574802,-24.74579187002067,1.8046788795587214,0.5971976805031043,0.04355286129400834,0.5608190953355213,0.04293469264518201,24.154040772331097,0.7540536151949072,0.4239553052783667,0.022797126692242174,4731.14186412,2555.175505799998,0.1199,0.1199
221925.57+272806.4,5.121105709575067,1.032935834097645,-19.790992391587107,3.9918772220229077,0.418062292108624,0.08432388372624058,0.5448303156909693,0.11121510067256031,7.417203337333067,1.4903442923006847,-6.712123310127714,1.3486720276518718,0.1716766570567061,0.03449512091409377,0.4651744539523965,0.10280666875552921,9.76035618715574,1.1467912446483057,0.5050023848216829,0.0757264976052254,568.9095545700038,1622.498495415006,0.2282,0.2282
224657.70-003242.5,18.85197430784551,1.4410467565832135,-18.168809603119975,1.3888255798575928,0.6509928417019819,0.04976195637520694,0.4126639818987475,0.03339080201229596,12.35761124432574,1.5182582867207746,-10.81711047913515,1.3289920922914709,0.4785158937652635,0.05879054670620926,0.560274769843178,0.07203777549828902,15.048876408606594,0.7104919269639584,0.48646937587096273,0.0397000842498043,2741.293180490007,3289.091675919997,0.4157,0.4157
