Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
153938.92+373853.8,3.311986217,,,,0.181326162,,0.976969223,,2.495372185,,,,0.463425606,,3.062561368,,2.903679201,,2.019765296,,2.880479916,0.409668264,53142,59358.30612,"(16.59000015258789, 55223.7227434, nan)","(16.103999614715576, 60498.39003091, 0.13717051236264186)",55223.72274,60498.32617,25,22,0.18560069,,0.054748465,0.151319615,,0.185714023,0.03405264,0.042472791
154742.72+012541.0,6.520892733,1.392658182,-6.727588207,1.436801853,0.436601329,0.093244351,0.780738104,0.189767896,8.797350002,1.617325356,-6.920953906,1.272364318,0.347564456,0.063897061,1.00078353,0.234080105,7.241696212,0.717571801,0.890760817,0.15066963,4.804401655,0.877455722,52824,59354.34563,"(15.392499923706055, 56702.9365829, 0.12599992752075195)","(14.98799991607666, 60516.501106359996, 0.1204996109008789)",56702.9695,60516.40585,22,22,0.559216114,0.064897154,0.066954227,0.347292342,0.050219155,0.039507858,0.091075847,0.080734961
155426.13+200527.7,,,,,,,,,5.271682946,1.340208998,-5.908116664,1.502008219,0.418691311,0.106443022,1.784837155,0.704718594,5.589899805,1.006502465,1.784837155,0.704718594,4.793372363,0.731211007,52756,59321.47338,,,56699.73882,60513.47683,5,22,,,,0.23458236,0.070867137,0.079422703,,0.060930001
160047.63+331310.7,16.96870504,3.666718943,-4.810101655,1.03940111,0.601503119,0.129977089,0.434168532,0.101674121,14.70073838,2.402562876,-6.729377617,1.09979189,0.558672827,0.091304706,0.808839114,0.164090175,10.80223067,1.159391895,0.621503823,0.096518408,5.652407445,0.547741912,55327,59376.29987,"(14.220999717712402, 55232.5896681, 0.05200004577636719)","(14.213500022888184, 60509.621365215, 0.05350017547607422)",55232.58967,60509.62137,24,24,1.385413899,0.125049981,0.035447792,0.690709459,0.083019985,0.038003045,0.11614165,0.095994389
160139.10+412529.3,6.612410107,1.460711247,-6.210335268,1.3718911,0.416266488,0.091955147,0.58343423,0.14005411,4.395895648,1.109927537,-9.127678927,2.304663942,0.382051236,0.096464798,1.084492055,0.302627239,6.586579988,0.812372204,0.833963142,0.16673212,4.777748785,0.810373316,56430,59311.39483,"(14.640999794006348, 55227.6257844, 0.057000160217285156)","(14.989500045776367, 60502.189410335, 0.10800027847290039)",55227.62578,60501.77448,24,24,0.713476287,0.067028022,0.06295231,0.352285878,0.04185634,0.086910897,0.045119541,0.032188214
160310.99+432928.9,6.918619087,1.108254835,-14.48218918,2.319820759,0.549666223,0.088047953,1.013722906,0.177209516,7.334425863,1.187131332,-11.4645084,1.855615885,0.460745181,0.074575032,1.425494749,0.290948386,10.04993563,0.846403725,1.219608827,0.170333626,3.744686566,0.560177536,58248,59311.39483,"(14.666000366210938, 55226.6328018, 0.07899951934814453)","(15.348000049591064, 60501.168033325, 0.0970001220703125)",55226.6328,60501.29594,25,25,0.542225316,0.037954636,0.079447389,0.323217733,0.04018883,0.062819529,0.124543778,0.104104407
160337.12+242513.9,4.600834855,1.141928943,-8.344467556,2.071099989,0.258203356,0.06408617,0.685775641,0.179297896,4.52550366,1.335641812,-5.111234081,1.508512304,0.207411659,0.061214774,0.846716147,0.286570762,5.645510038,0.776732149,0.766245894,0.169019627,1.324272726,0.292966701,58247,59350.39855,"(15.255000114440918, 55238.7446774, 0.09599971771240234)","(15.65999984741211, 60514.65712619, 0.12173468208744845)",55238.74468,60351.77098,23,20,0.376512871,0.030943059,0.056120979,0.244960084,0.040579566,0.045831729,0.037872221,0.028494003
160730.20+560305.5,9.874657652,1.42336855,-9.748841673,1.405232984,0.522120664,0.075260344,1.29297864,0.253264818,3.578254782,1.062134579,-9.996456453,2.967251555,0.391814781,0.116302514,1.362653946,0.44508891,8.29955264,0.933185721,1.327816293,0.256050388,,,52057,59316.45962,"(15.689000129699707, 55213.2316724, 0.1725001335144043)","(14.920000076293945, 60485.58570075, 0.0970001220703125)",55213.23167,60485.61792,25,25,0.403812289,0.0535572,0.052874812,0.287537993,0.039195367,0.109498849,0.035585011,0.027356879
161542.41+233143.9,7.062988598,1.557714719,-5.913660664,1.304234905,0.672932376,0.148412624,0.217867102,0.048715529,4.77048285,2.157081898,-2.495958529,1.128604196,0.366344637,0.165651027,0.362071499,0.171937616,5.06077266,0.792711075,0.289969301,0.089352877,,,52793,59386.27512,"(13.322999954223633, 55242.4831299, 0.027499675750732422)","(13.484999656677246, 60518.09868909, 0.01800060272216797)",55242.48313,60518.13033,24,24,3.088728719,0.113792863,0.095275869,1.011801918,0.14677513,0.076794037,0.100693559,0.055703467
161903.04+540529.0,3.876663629,,,,0.253446974,,0.891471379,,2.083542819,,,,0.202205931,,0.980614897,,2.980103224,,0.936043138,,1.554788313,0.450095667,57190,59383.31719,"(16.031999588012695, 55220.3448454, 0.1529998779296875)","(15.728000164031982, 60493.636445205004, 0.09749984741210938)",55220.34485,60332.49148,25,24,0.284301863,,0.065377602,0.206203201,,0.097049088,0.037501884,0.030893987
