Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
172701.43+570548.5,4.318106028,1.171750897,-7.07031545,1.918583845,0.384717195,0.104395935,0.273502857,0.074967399,3.694053269,1.175122335,-5.985363623,1.904015445,0.304251609,0.09678606,0.281149557,0.090406802,5.266959592,0.792943545,0.277326207,0.058722868,3110.02139,2749.94476,23,23,1.406629527,1.082169974,0.114710853,0.072836423,0.017122707,0.042393229,0.074732529,0.015715871
111353.73+515725.8,2.762737482,1.320836018,-3.20166459,1.530682498,0.12793853,0.061166079,0.614357819,0.316492841,2.899669309,,,,0.17615399,,0.945359808,,2.95469046,,0.779858814,,886.9621299,3477.073582,22,14,0.208247582,0.186335392,0.022570676,0.042055055,,0.026765009,0.058860494,
155716.21+425652.5,1.841754261,1.426098945,-1.811432682,1.402620476,0.14307678,0.110786575,0.250258833,0.196839575,4.407635803,1.383056325,-4.61325254,1.447576068,0.160879765,0.050481888,0.471635109,0.15564951,3.168518822,0.70752313,0.360946971,0.125471698,1275.473342,526.0898985,25,25,0.571715208,0.341110663,0.016867994,0.058765889,0.010800446,0.025638106,0.047205148,0.009004092
161848.25+540918.0,3.334420798,1.513731282,-2.934222045,1.332052541,0.23304944,0.105797753,0.42429556,0.202153472,3.161816307,1.413979635,-3.162862743,1.414447606,0.146329751,0.065439377,0.458814696,0.215709033,3.148330473,0.710006461,0.441555128,0.147814422,2191.076075,1294.122917,25,25,0.549262027,0.318929957,0.027469467,0.06363415,0.009581193,0.027045667,0.048343669,0.011428892
081445.86+320536.1,2.939495331,1.479127353,-2.69710512,1.357158801,0.18273638,0.091951287,0.45211126,0.239789669,2.942261867,1.075590257,-7.428097608,2.715458302,0.234536912,0.085738669,0.98518079,0.38311853,4.001739982,0.886013048,0.718646025,0.225986113,1616.999298,2921.990505,22,22,0.404184535,0.238064845,0.042997461,0.051942915,0.013306859,0.03190187,0.040985925,0.006255892
120137.55+534903.0,2.980196507,1.328820329,-3.405630915,1.518514495,0.115698479,0.051588038,0.426921437,0.197737256,0.986858144,1.13231728,-1.857892292,2.131738549,0.09644615,0.110661946,0.404752431,0.472708412,2.307644465,0.786531206,0.415836934,0.256199758,3442.298087,2191.173564,23,20,0.271006487,0.238284301,0.024857008,0.038822433,0.008827728,0.016779189,0.051911594,
161758.81+442259.4,8.409707927,1.372679006,-8.943220832,1.459761931,0.559795762,0.091372958,0.766037541,0.141207683,10.73547666,1.601062508,-8.585905778,1.280480808,0.441815981,0.065891345,0.695898562,0.118121093,9.1685778,0.716684415,0.730968052,0.092049175,1826.190265,4730.048333,24,24,0.730768052,0.634885607,0.061333797,0.063437381,0.0094551,0.0676745,0.063175661,0.006712194
140447.81+053708.2,9.869968622,1.532773018,-8.496626452,1.319497586,1.018673779,0.158196621,0.195639069,0.030714226,12.61883813,1.476016263,-11.62336103,1.359576035,1.12835103,0.131982394,0.246234434,0.029270419,10.65219856,0.712282336,0.220936751,0.021213917,3651.126269,3083.172845,25,25,5.206903636,4.582425836,0.255659775,0.114097119,0.025681138,0.172211416,0.095501675,0.027440836
143005.51-011321.6,10.2549894,1.387290793,-10.66507632,1.442767186,0.44254876,0.059867816,0.285878413,0.039425402,4.369956468,1.48328871,-3.988964568,1.353969119,0.295746657,0.100384908,0.271159307,0.093866867,7.319746689,0.708851654,0.27851886,0.050905184,2922.684792,4384.29877,24,24,1.548031402,1.090674926,0.080608413,0.053235163,0.012802258,0.042036303,0.066885788,0.015528485
160235.34+561800.6,3.596856537,1.516774756,-3.153917263,1.329989683,0.266177558,0.112245622,0.217867102,0.093097876,2.839602923,1.134851036,-5.29232716,2.115085496,0.268718225,0.107393591,0.258346107,0.104015705,3.720675971,0.783858714,0.238106605,0.069796994,2914.884251,5272.383007,25,25,1.221742772,1.040148149,0.040928131,0.073527251,0.009308905,0.036954952,0.071963621,0.014423404
